"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (HHS Data)","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied (State Nowcast)","Percent Occupied (State HHS Data)","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2021-11-02,"GA",31628.8646822683,4518.40924032404,3940.4208325867,562.9172617981,13809.9,4462,2826.4208325867,2651,472,1165.57142857143,2232,4712.38913330834,25.7960571204887,79.5333721997502,78.879106314494,82.1953979630328,"No","No","Has Capacity","Has Capacity",
2021-11-02,"HI",11124.3227507248,1589.18896438925,602.113856812933,86.0162652589904,2262.9,679,555.113856812933,206,48,120.428571428571,64,1243.19068948968,7.57798941014253,75.4689179012359,73.0234406038935,76.6990291262136,"No","No","Has Capacity","Has Capacity",
2021-11-02,"IA",32006.0321025771,4572.29030036815,2095.94724426071,299.421034894388,5142.8,2097,1640.94724426071,619,131,1096.85714285714,2753,3859.87505940979,23.9892279536325,68.0923379431299,71.5197609669972,78.8368336025848,"No","No","Has Capacity","Has Capacity",
2021-11-02,"ID",28125.220417265,4017.88863103785,1070.58083593445,152.940119419208,2605.5,709,770.580835934453,320,35,854.571428571429,1001,2031.03306693307,21.2691666456341,70.424838382865,77.2172236503856,89.0625,"No","No","Has Capacity","Has Capacity",
2021-11-02,"IL",106821.38428341,15260.1977547729,7076.05299635107,1010.86471376444,22193.1,8004,6086.05299635107,3270,1023,2228.71428571429,6125,23010.8546892039,14.6047536311724,72.5768234435429,71.9384356484241,68.7155963302752,"No","No","Has Capacity","Has Capacity",
2021-11-02,"IN",63609.8626287081,9087.12323267259,5270.21404272842,752.887720389775,12441.9,5912,4360.21404272842,2296,587,1630.28571428571,3971,7465.67048413096,17.9406141255359,64.9554003590414,66.1203438395415,74.4337979094077,"No","No","Has Capacity","Has Capacity",
2021-11-02,"KS",34869.3058342582,4981.32940489402,2667.1647578403,381.023536834328,6437.1,3111,2317.1647578403,796,193,805.714285714286,1287,3194.49311801242,16.1746839091326,64.0029709365973,61.8656533464084,75.7537688442211,"No","No","Has Capacity","Has Capacity",
2021-11-02,"KY",25083.7767344545,3583.39667635064,2578.03872687934,368.291246697049,8041.1,2525,1745.03872687934,1407,196,1035.28571428571,532,3117.83650159093,28.8911836392073,78.298507332587,76.1544999527812,86.0696517412935,"No","No","Has Capacity","Has Capacity",
2021-11-02,"LA",45575.5574953903,6510.79392791289,2738.77100932242,391.253001331775,9764.8,3461,2530.77100932242,1461,379,498.714285714286,1529,8338.96998786098,7.65980756319459,74.082715372333,72.4069201945308,74.0588637919233,"No","No","Has Capacity","Has Capacity",
2021-11-02,"MA",52998.7644719293,7571.25206741848,2391.8654943645,341.6950706235,12718,2443,1976.8654943645,1315,246,1312.28571428571,3308,5408.98881239243,17.3324795238677,84.4561606041476,85.2902215799615,81.2927756653992,"No","No","Has Capacity","Has Capacity",
