"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2021-11-02,"AK",15425.2488632468,2203.60698046383,424.456489692486,60.6366413846408,987.1,282.456489692486,128,29,632.428571428571,1522,15371.7626293025,28.6996990405001,71.3852203735705,77.34375,"No","No","Has Capacity","Has Capacity",
2021-11-02,"AL",121770.237553126,17395.7482218752,3530.24733581951,504.321047974215,13589.2,3180.24733581951,1572,221,1736.85714285714,939,96963.4749391557,9.98437733579656,76.5972438714604,85.941475826972,"No","No","Has Capacity","Has Capacity",
2021-11-02,"AR",25153.4577763321,3593.35111090459,2499.8150437833,357.116434826186,7624.3,2181.8150437833,946,192,420.857142857143,137,15914.63503135,11.712107441435,71.3834051154427,79.7040169133192,"No","No","Has Capacity","Has Capacity",
2021-11-02,"AZ",39393.4721170795,5627.63887386849,4188.81654735775,598.40236390825,14160.2,2719.81654735775,2193,794,3001.14285714286,2090,33383.865512276,53.3286325652208,80.7925273134719,63.7938896488828,"No","No","Has Capacity","Has Capacity",
2021-11-02,"CA",193698.694624221,27671.2420891744,14037.9374147145,2005.4196306735,60745.2,11041.9374147145,7061,1732,9165.71428571429,19351,212814.477085581,33.123609905824,81.8225350896623,75.4708964735873,"No","No","Has Capacity","Has Capacity",
2021-11-02,"CO",48241.9567589372,6891.7081084196,3872.23701172101,553.176715960144,10169.9,2499.23701172101,1348,213,2907,7394,29167.9855104139,42.181124828089,75.4251564742917,84.1988130563798,"No","No","Unsustainable","Has Capacity",
2021-11-02,"CT",24334.8705796707,3476.4100828101,1841.31658266601,263.045226095144,7820,1654.31658266601,1025,416,327.142857142857,832,28091.3809196811,9.41036440897723,78.845056487647,59.4146341463415,"No","No","Has Capacity","Has Capacity",
2021-11-02,"DC",8808.23684210526,1258.31954887218,580.608013937282,82.9440019910403,2803.3,542.608013937282,328,77,84.4285714285714,230,6893.23237781955,6.70962884620556,80.6439548411771,76.5243902439024,"No","No","Has Capacity","Has Capacity",
2021-11-02,"DE",13112.1563796771,1873.16519709673,823.790195582384,117.684313654626,2788,691.790195582384,195,30,256.714285714286,199,20619.7382862289,13.7048396004887,75.1868652947495,84.6153846153846,"No","No","Has Capacity","Has Capacity",
2021-11-02,"FL",124511.361604722,17787.3373721031,13716.2088670194,1959.4584095742,51832.6,12176.2088670194,6410,1668,1714.85714285714,2050,124140.326108293,9.6408872614439,76.508589445601,73.9781591263651,"No","No","Has Capacity","Has Capacity",
2021-11-02,"GA",43155.443691705,6165.06338452928,5430.95738936146,775.851055623065,19799.5,4315.95738936146,2651,472,1165.57142857143,2232,31777.4726576661,18.9060737233673,78.201684944764,82.1953979630328,"No","No","Has Capacity","Has Capacity",
2021-11-02,"HI",12315.9248783844,1759.41783976919,666.413856812933,95.2019795447047,2425.9,619.413856812933,206,48,120.428571428571,64,14619.2660117938,6.8447965404494,74.4666368435248,76.6990291262136,"No","No","Has Capacity","Has Capacity",
2021-11-02,"IA",36657.7570543553,5236.82243633648,2399.04546179746,342.72078025678,6711.9,1944.04546179746,619,131,1096.85714285714,2753,43792.5976074955,20.9450894352735,71.0358398993212,78.8368336025848,"No","No","Has Capacity","Has Capacity",
2021-11-02,"ID",33410.3010650401,4772.90015214859,1274.95363747255,182.13623392465,3076.8,974.953637472549,320,35,854.571428571429,1001,25124.0882246285,17.9046575735872,68.3127392917138,89.0625,"No","No","Has Capacity","Has Capacity",
2021-11-02,"IL",135274.220661681,19324.8886659545,8964.64220282029,1280.66317183147,27870.6,7974.64220282029,3270,1023,2228.71428571429,6125,164689.014428371,11.5328699908151,71.3869015994622,68.7155963302752,"No","No","Has Capacity","Has Capacity",
2021-11-02,"IN",80655.5272846216,11522.2181835174,6692.11841864568,956.016916949383,16795.4,5782.11841864568,2296,587,1630.28571428571,3971,59201.5314746627,14.1490613032988,65.5732020752964,74.4337979094077,"No","No","Has Capacity","Has Capacity",
