"date","state","avgnewcases","new_case"
2021-10-03,"NY",4966.4,4840
2021-10-03,"OH",5647,3445
2021-10-03,"OK",1435.1,994
2021-10-03,"OR",1496.8,1087
2021-10-03,"PA",4721.8,6289
2021-10-03,"PR",164.7,101
2021-10-03,"PW",0,0
2021-10-03,"RI",301.8,225
2021-10-03,"RMI",0,0
2021-10-03,"SC",2616.4,2415
2021-10-03,"SD",338.6,121
2021-10-03,"TN",3293,1644
2021-10-03,"TX",9323.9,2677
2021-10-03,"UT",1338.3,1100
2021-10-03,"VA",2675.6,1894
2021-10-03,"VI",23.7,15
2021-10-03,"VT",163.8,111
2021-10-03,"WA",2815.7,2307
2021-10-03,"WI",2798.6,2184
2021-10-03,"WV",1571.5,1027
2021-10-03,"WY",435.8,270
2021-10-04,"AK",992.4,729
2021-10-04,"AL",1523.6,1540
2021-10-04,"AR",703.6,195
2021-10-04,"AS",0.2,0
2021-10-04,"AZ",2566.1,2113
2021-10-04,"CA",7130.3,18998
2021-10-04,"CO",1476.6,1714
2021-10-04,"CT",443,367
2021-10-04,"DC",158.6,154
2021-10-04,"DE",454,365
2021-10-04,"FL",4469.9,3661
2021-10-04,"FSM",0,0
2021-10-04,"GA",3232.1,2600
2021-10-04,"GU",135.1,165
2021-10-04,"HI",287.9,188
2021-10-04,"IA",1324,1111
2021-10-04,"ID",1171.9,1108
2021-10-04,"IL",2587.4,2381
2021-10-04,"IN",2414.9,2029
2021-10-04,"KS",866,607
2021-10-04,"KY",2493.9,1192
2021-10-04,"LA",910.7,575
2021-10-04,"MA",1412.1,1119
2021-10-04,"MD",1220.4,1078
2021-10-04,"ME",519.5,449
2021-10-04,"MI",3658.7,3274
2021-10-04,"MN",2114.5,1181
2021-10-04,"MO",1408.8,1181
2021-10-04,"MP",0.7,0
2021-10-04,"MS",823.1,947
2021-10-04,"MT",744.4,494
2021-10-04,"NC",4008.3,2214
2021-10-04,"ND",573.3,1137
2021-10-04,"NE",595.3,394
2021-10-04,"NH",460,431
2021-10-04,"NJ",1702.3,1246
2021-10-04,"NM",678.9,588
2021-10-04,"NV",770.4,625
2021-10-04,"NY",4687.7,3220
2021-10-04,"OH",5358.7,4212
2021-10-04,"OK",1419.3,996
2021-10-04,"OR",1398.1,1088
2021-10-04,"PA",4654.2,4395
2021-10-04,"PR",139.4,58
2021-10-04,"PW",0,0
2021-10-04,"RI",280.4,163
2021-10-04,"RMI",0,0
2021-10-04,"SC",2417.2,1588
2021-10-04,"SD",303.9,123
2021-10-04,"TN",2852.9,1169
2021-10-04,"TX",8269.2,2951
2021-10-04,"UT",1281.1,1100
2021-10-04,"VA",2523.1,1897
2021-10-04,"VI",22.1,15
2021-10-04,"VT",160.8,182
2021-10-04,"WA",2733.8,2310
2021-10-04,"WI",2692.9,2184
2021-10-04,"WV",1387.6,846
2021-10-04,"WY",411.3,270
2021-10-05,"AK",945.7,820
2021-10-05,"AL",1501.3,1318
2021-10-05,"AR",677.1,747
2021-10-05,"AS",0.2,0
2021-10-05,"AZ",2499.9,2254
2021-10-05,"CA",7505.5,3752
2021-10-05,"CO",1568.2,2280
2021-10-05,"CT",436.1,411
2021-10-05,"DC",146.9,72
2021-10-05,"DE",422.4,283
2021-10-05,"FL",4339.2,3755
2021-10-05,"FSM",0,0
2021-10-05,"GA",3253,2876
2021-10-05,"GU",141.5,159
2021-10-05,"HI",257.2,87
2021-10-05,"IA",1456.1,2444
2021-10-05,"ID",1273.8,1835
2021-10-05,"IL",2670.9,3058
2021-10-05,"IN",2414.7,2102
2021-10-05,"KS",915.2,1156
2021-10-05,"KY",2418.6,2412
2021-10-05,"LA",910.9,1020
2021-10-05,"MA",1401,1340
2021-10-05,"MD",1128.6,649
2021-10-05,"ME",547.5,299
2021-10-05,"MI",3803.4,4352
2021-10-05,"MN",2734.2,7124
2021-10-05,"MO",1491,1932
2021-10-05,"MP",0.6,0
2021-10-05,"MS",847.4,834
2021-10-05,"MT",828.7,1260
2021-10-05,"NC",3767.1,2896
2021-10-05,"ND",639.8,806
2021-10-05,"NE",620.5,843
2021-10-05,"NH",457.9,396
2021-10-05,"NJ",1643.7,1648
2021-10-05,"NM",666.5,538
2021-10-05,"NV",717,126
2021-10-05,"NY",4636.6,4831
2021-10-05,"OH",5374.1,5533
2021-10-05,"OK",1367.6,1096
2021-10-05,"OR",1441.5,1627
2021-10-05,"PA",4559.5,4019
2021-10-05,"PR",130.8,127
2021-10-05,"PW",0,0
2021-10-05,"RI",273.3,266
2021-10-05,"RMI",0,0
2021-10-05,"SC",2234.6,1349
2021-10-05,"SD",366.7,755
2021-10-05,"TN",2775.7,3121
2021-10-05,"TX",8091,10012
2021-10-05,"UT",1301.7,1264
2021-10-05,"VA",2674.8,3919
2021-10-05,"VI",24.2,32
2021-10-05,"VT",147.9,74
2021-10-05,"WA",2678.2,2373
2021-10-05,"WI",2949.6,4799
2021-10-05,"WV",1298.2,864
2021-10-05,"WY",429.6,538
2021-10-06,"AK",902.1,851
2021-10-06,"AL",1489,1305
2021-10-06,"AR",723.6,882
2021-10-06,"AS",0.2,0
2021-10-06,"AZ",2446.1,2041
2021-10-06,"CA",8044.1,5386
2021-10-06,"CO",1615.6,1838
2021-10-06,"CT",425.8,377
2021-10-06,"DC",139.5,115
2021-10-06,"DE",427.1,428
2021-10-06,"FL",4364.4,3939
2021-10-06,"FSM",0,0
2021-10-06,"GA",3077,907
2021-10-06,"GU",139.1,138
2021-10-06,"HI",236.9,164
2021-10-06,"IA",1381.5,377
2021-10-06,"ID",1370.6,1367
2021-10-06,"IL",2741.8,2932
2021-10-06,"IN",2467.6,2633
2021-10-06,"KS",964.4,1156
2021-10-06,"KY",2488.5,2474
2021-10-06,"LA",901.1,920
2021-10-06,"MA",1420.8,1649
2021-10-06,"MD",1124.9,1077
2021-10-06,"ME",618.9,1217
2021-10-06,"MI",4044.7,5318
2021-10-06,"MN",3029.8,3883
2021-10-06,"MO",1560.9,1558
2021-10-06,"MP",0.6,0
2021-10-06,"MS",899.5,1112
2021-10-06,"MT",921,1340
2021-10-06,"NC",3700,3578
2021-10-06,"ND",696.1,705
2021-10-06,"NE",647.6,862
2021-10-06,"NH",464.6,484
2021-10-06,"NJ",1717.9,1852
2021-10-06,"NM",683.5,832
2021-10-06,"NV",724.8,738
2021-10-06,"NY",4805.7,6200
2021-10-06,"OH",5577.1,6296
2021-10-06,"OK",1362.2,1559
2021-10-06,"OR",1475.4,1532
2021-10-06,"PA",4640.6,5058
2021-10-06,"PR",137,202
2021-10-06,"PW",0,0
2021-10-06,"RI",283.9,343
2021-10-06,"RMI",0,0
2021-10-06,"SC",2087.7,1491
2021-10-06,"SD",394.1,401
2021-10-06,"TN",2897.7,3093
2021-10-06,"TX",8845.1,12566
2021-10-06,"UT",1393.4,1975
2021-10-06,"VA",2723.2,2886
2021-10-06,"VI",23,12
2021-10-06,"VT",142.5,117
2021-10-06,"WA",2642.8,2575
2021-10-06,"WI",3000.6,2742
2021-10-06,"WV",1300.4,1398
2021-10-06,"WY",450.7,566
2021-10-07,"AK",856.7,835
2021-10-07,"AL",1398.4,1102
2021-10-07,"AR",765.9,893
2021-10-07,"AS",0.2,0
2021-10-07,"AZ",2503.1,2529
2021-10-07,"CA",6591.2,8440
2021-10-07,"CO",1757.1,2781
2021-10-07,"CT",432.2,548
2021-10-07,"DC",132.6,120
2021-10-07,"DE",431.8,471
2021-10-07,"FL",4245.3,3925
2021-10-07,"FSM",0,0
2021-10-07,"GA",3385.3,5753
2021-10-07,"GU",135.3,131
2021-10-07,"HI",239.9,278
2021-10-07,"IA",1422.4,1533
2021-10-07,"ID",1360.4,1321
2021-10-07,"IL",2856.4,3371
2021-10-07,"IN",2477,2198
2021-10-07,"KS",1008.3,1105
2021-10-07,"KY",2560.7,2288
2021-10-07,"LA",896,971
2021-10-07,"MA",1447.9,1722
2021-10-07,"MD",1168.7,1398
2021-10-07,"ME",615,466
2021-10-07,"MI",4274.4,5206
2021-10-07,"MN",3203.5,2667
2021-10-07,"MO",1565,1595
2021-10-07,"MP",0.7,1
2021-10-07,"MS",807.6,601
2021-10-07,"MT",1008.5,1293
2021-10-07,"NC",3814.2,3867
2021-10-07,"ND",655.2,693
2021-10-07,"NE",671,826
2021-10-07,"NH",485.6,628
2021-10-07,"NJ",1808.5,2065
2021-10-07,"NM",719.6,1023
2021-10-07,"NV",733.2,745
2021-10-07,"NY",4875.6,5002
2021-10-07,"OH",5840,6310
2021-10-07,"OK",1372.8,1720
2021-10-07,"OR",1498.5,1426
2021-10-07,"PA",4921.5,5819
2021-10-07,"PR",147.4,133
2021-10-07,"PW",0,0
2021-10-07,"RI",295.5,330
2021-10-07,"RMI",0,0
2021-10-07,"SC",2049.8,1900
2021-10-07,"SD",428.6,474
2021-10-07,"TN",2930.1,2450
2021-10-07,"TX",9075.4,8095
2021-10-07,"UT",1467.9,1805
2021-10-07,"VA",2766.5,2836
